"ym_quarter","dong","pop_all_mean","pop_all_std"
"20231","금호1가동",15004,21.0713075057055
"20231","금호2.3가동",22198.3333333333,31.6596483450675
"20231","금호4가동",14186.6666666667,37.4477413649119
"20231","마장동",21995,31.1929479209644
"20231","사근동",12018.3333333333,94.8384591467688
"20231","성동구",280473.666666667,233.5001784439
"20231","성수1가제1동",15883,175.445148123281
"20231","성수1가제2동",12136.6666666667,10.9696551146029
"20231","성수2가제1동",15108,81.504601097116
"20231","성수2가제3동",10266.6666666667,19.7568553503166
"20231","송정동",10025.6666666667,16.2890556304942
"20231","옥수동",25556.3333333333,24.1729876790879
"20231","왕십리도선동",26403,2.64575131106459
"20231","왕십리제2동",16296.6666666667,11.6761865920913
"20231","용답동",11710.3333333333,45.0037035513005
"20231","응봉동",14992.3333333333,37.2200662725543
"20231","행당제1동",13705.3333333333,25.4230866208911
"20231","행당제2동",22987.3333333333,12.0138808606267
"20232","금호1가동",14957.6666666667,27.5922694487665
"20232","금호2.3가동",22078,27.8388218141501
"20232","금호4가동",14261.6666666667,16.6232768530556
"20232","마장동",21916.3333333333,53.538148392836
"20232","사근동",12082.3333333333,31.4695620136877
"20232","성동구",279704.666666667,306.765925965276
"20232","성수1가제1동",15618.3333333333,25.5799400572662
"20232","성수1가제2동",12097.3333333333,23.1588715902423
"20232","성수2가제1동",14907.3333333333,62.6125652990942
"20232","성수2가제3동",10218.6666666667,19.3476958145753
"20232","송정동",9933,31.9530906173409
"20232","옥수동",25479.3333333333,31.9426569548204
"20232","왕십리도선동",26404.3333333333,19.0087699058443
"20232","왕십리제2동",16230.3333333333,24.0069434400411
"20232","용답동",11856,7.81024967590665
"20232","응봉동",14955.6666666667,4.16333199893227
"20232","행당제1동",13720.3333333333,26.2741951985847
"20232","행당제2동",22988,2
"20233","금호1가동",14881.6666666667,34.6458270695524
"20233","금호2.3가동",21998,43.9658958739612
"20233","금호4가동",14260.6666666667,53.7804177497101
"20233","마장동",21766,40.9267638593622
"20233","사근동",12011.3333333333,1.15470053837925
"20233","성동구",278752.666666667,388.006872791363
"20233","성수1가제1동",15554.6666666667,36.909799963334
"20233","성수1가제2동",12029.3333333333,15.1767365837763
"20233","성수2가제1동",14723.3333333333,67.0397891802572
"20233","성수2가제3동",10140,18.6815416922694
"20233","송정동",9849.33333333333,31.3421973277773
"20233","옥수동",25448,6.08276253029822
"20233","왕십리도선동",26373,38.314488121336
"20233","왕십리제2동",16175,16.0934769394311
"20233","용답동",11912.6666666667,35.9490380028914
"20233","응봉동",14971.3333333333,10.2143689640297
"20233","행당제1동",13710.3333333333,11.8462370959446
"20233","행당제2동",22948,47.8434948556227
"20234","금호1가동",14786.6666666667,38.527046776691
"20234","금호2.3가동",21974,30.5122926047847
"20234","금호4가동",14157.6666666667,10.9696551146029
"20234","마장동",21610.3333333333,42.7707064862545
"20234","사근동",11985.3333333333,33.3816316757185
"20234","성동구",277699,337.004451009182
"20234","성수1가제1동",15430.6666666667,39.0042732701602
"20234","성수1가제2동",11977,31.4324672910034
"20234","성수2가제1동",14613.3333333333,7.23417813807024
"20234","성수2가제3동",10066.6666666667,28.2193786843958
"20234","송정동",9746,26
"20234","옥수동",25388.6666666667,14.047538337137
"20234","왕십리도선동",26285,21.1660104885167
"20234","왕십리제2동",16116.6666666667,30.0721354967241
"20234","용답동",12019.3333333333,17.8978583448784
"20234","응봉동",14959.6666666667,26.5015722804013
"20234","행당제1동",13700.6666666667,15.0443787951957
"20234","행당제2동",22881.3333333333,29.5352896267048
"20241","금호1가동",14722.3333333333,23.0072452356499
"20241","금호2.3가동",21891.3333333333,46.8223593311287
"20241","금호4가동",14118.6666666667,16.2890556304942
"20241","마장동",21528.3333333333,29.8384539367128
"20241","사근동",11972.3333333333,125.957664845508
"20241","성동구",277002,76.4460594144656
"20241","성수1가제1동",15376,14.5258390463339
"20241","성수1가제2동",11905.6666666667,16.8621864932557
"20241","성수2가제1동",14557.6666666667,8.7368949480541
"20241","성수2가제3동",10014,8.18535277187245
"20241","송정동",9684.33333333333,26.5392790658174
"20241","옥수동",25378,11.5325625946708
"20241","왕십리도선동",26302,18.0277563773199
